O,FAM
1679,"Grouse, Quail, and Allies"
1683,"Grouse, Quail, and Allies"
1684,"Grouse, Quail, and Allies"
1685,"Grouse, Quail, and Allies"
1686,"Grouse, Quail, and Allies"
1687,"Grouse, Quail, and Allies"
1688,"Grouse, Quail, and Allies"
1693,"Grouse, Quail, and Allies"
1694,"Grouse, Quail, and Allies"
1698,"Grouse, Quail, and Allies"
1713,"Grouse, Quail, and Allies"
1714,"Grouse, Quail, and Allies"
1718,"Grouse, Quail, and Allies"
1719,"Grouse, Quail, and Allies"
1720,"Grouse, Quail, and Allies"
1721,"Grouse, Quail, and Allies"
1722,"Grouse, Quail, and Allies"
1723,"Grouse, Quail, and Allies"
1724,"Grouse, Quail, and Allies"
1725,"Grouse, Quail, and Allies"
1731,"Grouse, Quail, and Allies"
1735,"Grouse, Quail, and Allies"
1736,"Grouse, Quail, and Allies"
1739,"Grouse, Quail, and Allies"
1742,"Grouse, Quail, and Allies"
1743,"Grouse, Quail, and Allies"
1744,"Grouse, Quail, and Allies"
1745,"Grouse, Quail, and Allies"
1746,"Grouse, Quail, and Allies"
1747,"Grouse, Quail, and Allies"
1748,"Grouse, Quail, and Allies"
1749,"Grouse, Quail, and Allies"
1750,"Grouse, Quail, and Allies"
1751,"Grouse, Quail, and Allies"
1752,"Grouse, Quail, and Allies"
1753,"Grouse, Quail, and Allies"
1754,"Grouse, Quail, and Allies"
1755,"Grouse, Quail, and Allies"
1756,"Grouse, Quail, and Allies"
1757,"Grouse, Quail, and Allies"
1758,"Grouse, Quail, and Allies"
1759,"Grouse, Quail, and Allies"
1762,"Grouse, Quail, and Allies"
1766,"Grouse, Quail, and Allies"
1767,"Grouse, Quail, and Allies"
1768,"Grouse, Quail, and Allies"
1769,"Grouse, Quail, and Allies"
1772,"Grouse, Quail, and Allies"
1773,"Grouse, Quail, and Allies"
1774,"Grouse, Quail, and Allies"
1775,"Grouse, Quail, and Allies"
1778,"Grouse, Quail, and Allies"
1782,"Grouse, Quail, and Allies"
1783,"Grouse, Quail, and Allies"
1784,"Grouse, Quail, and Allies"
1786,Flamingos
1787,Flamingos
1788,Flamingos
1789,Flamingos
1790,Flamingos
1791,Flamingos
1792,Flamingos
1793,Flamingos
1794,Flamingos
1795,Flamingos
1796,Flamingos
1798,Grebes
1802,Grebes
1803,Grebes
1804,Grebes
1805,Grebes
1813,Grebes
1817,Grebes
1824,Grebes
1825,Grebes
1831,Grebes
1835,Grebes
1836,Grebes
1837,Grebes
1838,Grebes
1839,Grebes
1842,Grebes
1845,Grebes
1848,Grebes
1852,Grebes
1856,Grebes
1857,Grebes
1858,Grebes
1859,Grebes
1860,Grebes
1861,Grebes
1862,Grebes
1863,Grebes
1864,Grebes
1867,Grebes
1870,Grebes
1871,Grebes
1872,Grebes
1874,Pigeons and Doves
1875,Pigeons and Doves
1889,Pigeons and Doves
1890,Pigeons and Doves
1893,Pigeons and Doves
1894,Pigeons and Doves
1897,Pigeons and Doves
1900,Pigeons and Doves
1901,Pigeons and Doves
1904,Pigeons and Doves
1905,Pigeons and Doves
1906,Pigeons and Doves
1907,Pigeons and Doves
1912,Pigeons and Doves
1913,Pigeons and Doves
1914,Pigeons and Doves
1915,Pigeons and Doves
1916,Pigeons and Doves
1917,Pigeons and Doves
1918,Pigeons and Doves
1919,Pigeons and Doves
1920,Pigeons and Doves
1921,Pigeons and Doves
1922,Pigeons and Doves
1923,Pigeons and Doves
1924,Pigeons and Doves
1925,Pigeons and Doves
1926,Pigeons and Doves
1927,Pigeons and Doves
1928,Pigeons and Doves
1929,Pigeons and Doves
1930,Pigeons and Doves
1931,Pigeons and Doves
1932,Pigeons and Doves
1933,Pigeons and Doves
1934,Pigeons and Doves
1935,Pigeons and Doves
1938,Pigeons and Doves
1939,Pigeons and Doves
1940,Pigeons and Doves
1941,Pigeons and Doves
1949,Pigeons and Doves
1950,Pigeons and Doves
1951,Pigeons and Doves
1952,Pigeons and Doves
1953,Pigeons and Doves
1954,Pigeons and Doves
1955,Pigeons and Doves
1956,Pigeons and Doves
1957,Pigeons and Doves
1960,Pigeons and Doves
1967,Pigeons and Doves
1968,Pigeons and Doves
1969,Pigeons and Doves
1972,Pigeons and Doves
1973,Pigeons and Doves
1974,Pigeons and Doves
1975,Pigeons and Doves
1976,Pigeons and Doves
1977,Pigeons and Doves
1982,Pigeons and Doves
1986,Pigeons and Doves
1987,Pigeons and Doves
1991,Pigeons and Doves
1992,Pigeons and Doves
1996,Pigeons and Doves
1997,Pigeons and Doves
1998,Pigeons and Doves
1999,Pigeons and Doves
2000,Pigeons and Doves
2007,Pigeons and Doves
2008,Pigeons and Doves
2011,Pigeons and Doves
2018,Pigeons and Doves
2019,Pigeons and Doves
2020,Pigeons and Doves
2021,Pigeons and Doves
